uniprotID,gene
Q9NP59,SLC40A1
Q9BXW4,MAP1LC3C
P48200,IREB2
Q9UPY5,SLC7A11
P32929,CTH
Q658P3,STEAP3
P09601,HMOX1
P04035,HMGCR
O60488,ACSL4
Q92504,SLC39A7
Q8N4E7,FTMT
Q9ULC5,ACSL5
P16435,POR
Q6P1A2,LPCAT3
Q9C0K1,SLC39A8
Q9NZ45,CISD1
Q96FZ7,CHMP6
Q96F10,SAT2
Q16236,NFE2L2
P27487,DPP4
Q5U3C3,TMEM164
Q9Y5S8,NOX1
P04839,CYBB
F7VJQ1,PRNP
P02792,FTL
P08195,SLC3A2
P45880,VDAC2
Q13501,SQSTM1
Q9NZZ3,CHMP5
Q9Y277,VDAC3
Q96H96,COQ2
P48506,GCLC
Q15758,SLC1A5
Q9NPH5,NOX4
P04156,PRNP
P33121,ACSL1
P15735,PHKG2
Q9H492,MAP1LC3A
Q9H1Y0,ATG5
P48507,GCLM
Q9BRQ8,AIFM2
O95573,ACSL3
P52895,AKR1C2
Q9UBM7,DHCR7
Q15043,SLC39A14
P00450,CP
P48637,GSS
P30793,GCH1
Q04828,AKR1C1
Q9H2H9,SLC38A1
P16050,ALOX15
Q15365,PCBP1
P04792,HSPB1
P49281,SLC11A2
Q16881,TXNRD1
O14867,BACH1
Q9UKU0,ACSL6
P02787,TF
Q15366,PCBP2
A6NCE7,MAP1LC3B2
P15559,NQO1
P36969,GPX4
P42330,AKR1C3
P37268,FDFT1
Q92982,NINJ1
P02786,TFRC
P35520,CBS
P21673,SAT1
P04637,TP53
Q13772,NCOA4
O75845,SC5D
P02794,FTH1
O95352,ATG7
Q9GZQ8,MAP1LC3B
